"Date","Price","Open","High","Low","Change %"
"Apr 02, 2021","858.44","859.97","861.44","857.09","-0.15%"
"Apr 01, 2021","859.75","857.03","860.86","852.55","0.41%"
"Mar 31, 2021","856.20","861.09","863.59","855.59","-0.45%"
"Mar 30, 2021","860.09","864.26","868.72","860.14","-0.38%"
"Mar 29, 2021","863.38","862.34","867.70","860.93","0.20%"
"Mar 26, 2021","861.67","860.46","864.01","859.49","0.16%"
"Mar 25, 2021","860.31","860.86","864.10","859.73","-0.02%"
"Mar 24, 2021","860.48","863.91","865.66","859.49","-0.35%"
"Mar 23, 2021","863.53","872.59","873.21","863.05","-0.95%"
"Mar 22, 2021","871.85","872.58","876.32","868.23","-0.26%"
"Mar 19, 2021","874.16","875.41","878.38","872.40","-0.06%"
"Mar 18, 2021","874.68","874.70","881.03","873.86","0.09%"
"Mar 17, 2021","873.87","875.24","878.76","870.79","-0.06%"
"Mar 16, 2021","874.41","878.53","879.74","872.00","-0.41%"
"Mar 15, 2021","878.02","880.33","883.57","874.58","-0.46%"
"Mar 12, 2021","882.10","880.88","883.06","877.89","0.22%"
"Mar 11, 2021","880.20","879.40","882.56","876.46","0.19%"
"Mar 10, 2021","878.51","875.96","882.27","874.63","0.39%"
"Mar 09, 2021","875.13","873.50","878.49","870.52","0.29%"
"Mar 08, 2021","872.62","867.86","876.53","865.10","0.65%"
"Mar 05, 2021","866.98","873.84","877.83","861.41","-0.76%"
"Mar 04, 2021","873.60","876.39","880.72","871.45","-0.22%"
"Mar 03, 2021","875.50","879.92","881.53","868.86","-0.47%"
"Mar 02, 2021","879.65","865.43","881.48","856.55","1.70%"
"Mar 01, 2021","864.95","867.57","873.51","864.93","-0.12%"
"Feb 26, 2021","865.96","881.36","883.47","865.91","-1.67%"
"Feb 25, 2021","880.70","882.54","888.60","879.84","-0.17%"
"Feb 24, 2021","882.16","878.30","883.42","876.01","0.46%"
"Feb 23, 2021","878.11","880.72","882.01","877.20","-0.19%"
"Feb 22, 2021","879.82","869.22","881.47","868.38","1.25%"
"Feb 19, 2021","868.95","859.98","871.49","858.30","1.07%"
"Feb 18, 2021","859.78","857.71","862.09","855.59","0.35%"
"Feb 17, 2021","856.74","859.21","860.57","855.55","-0.18%"
"Feb 16, 2021","858.26","857.60","860.83","855.15","0.18%"
"Feb 15, 2021","856.71","856.45","859.33","855.11","0.22%"
"Feb 12, 2021","854.84","855.14","857.96","852.86","0.07%"
"Feb 11, 2021","854.25","854.42","857.74","853.09","0.08%"
"Feb 10, 2021","853.54","859.80","861.27","853.22","-0.70%"
"Feb 09, 2021","859.60","860.70","863.55","857.09","0.05%"
"Feb 08, 2021","859.13","855.76","863.01","855.42","0.21%"
"Feb 05, 2021","857.34","851.38","858.78","850.32","0.73%"
"Feb 04, 2021","851.09","848.33","854.53","847.68","0.35%"
"Feb 03, 2021","848.12","848.57","851.68","845.97","-0.03%"
"Feb 02, 2021","848.35","851.55","855.10","844.25","-0.27%"
"Feb 01, 2021","850.67","855.04","856.91","850.59","-0.40%"
"Jan 29, 2021","854.10","854.86","858.80","852.60","-0.02%"
"Jan 28, 2021","854.30","849.38","856.45","846.59","0.61%"
"Jan 27, 2021","849.13","853.40","856.27","847.20","-0.40%"
"Jan 26, 2021","852.52","850.01","855.54","848.05","0.31%"
"Jan 25, 2021","849.87","853.80","855.13","847.71","-0.36%"
"Jan 22, 2021","852.93","854.13","856.73","851.58","-0.02%"
"Jan 21, 2021","853.13","850.11","856.32","849.47","0.46%"
"Jan 20, 2021","849.23","848.43","854.58","846.90","0.20%"
"Jan 19, 2021","847.56","848.18","853.25","846.90","0.11%"
"Jan 18, 2021","846.63","851.01","852.11","847.35","-0.37%"
"Jan 15, 2021","849.74","852.50","854.92","847.68","-0.30%"
"Jan 14, 2021","852.27","849.22","855.99","848.03","0.47%"
"Jan 13, 2021","848.29","850.72","852.73","847.53","-0.25%"
"Jan 12, 2021","850.41","844.71","852.15","843.74","0.67%"
"Jan 11, 2021","844.76","847.74","849.49","842.36","-0.38%"
"Jan 08, 2021","848.00","849.56","851.93","846.17","-0.24%"
"Jan 07, 2021","850.04","848.88","851.83","845.13","0.16%"
"Jan 06, 2021","848.69","843.83","850.35","840.91","0.71%"
"Jan 05, 2021","842.74","832.84","845.66","830.56","1.22%"
"Jan 04, 2021","832.57","836.28","838.66","830.41","-0.37%"
"Jan 01, 2021","835.68","835.46","836.76","835.08","0.15%"
"Dec 31, 2020","834.39","836.51","843.38","833.74","-0.16%"
"Dec 30, 2020","835.73","830.55","837.66","829.00","0.73%"
"Dec 29, 2020","829.68","831.63","834.16","828.43","-0.07%"
"Dec 28, 2020","830.25","834.23","839.52","829.05","-0.59%"
"Dec 25, 2020","835.18","837.69","838.23","833.93","-0.10%"
"Dec 24, 2020","836.00","838.46","840.17","834.82","-0.23%"
"Dec 23, 2020","837.96","834.90","841.37","833.55","0.40%"
"Dec 22, 2020","834.62","837.73","839.10","832.17","-0.20%"
"Dec 21, 2020","836.28","835.33","840.08","828.93","-0.23%"
"Dec 18, 2020","838.17","833.85","838.91","831.88","0.62%"
"Dec 17, 2020","832.98","829.02","836.14","826.89","0.65%"
"Dec 16, 2020","827.57","823.59","830.22","821.73","0.52%"
"Dec 15, 2020","823.28","824.15","827.13","820.30","-0.07%"
"Dec 14, 2020","823.85","823.10","827.70","820.11","0.18%"
"Dec 11, 2020","822.36","819.26","827.39","816.97","0.56%"
"Dec 10, 2020","817.74","809.66","820.68","806.96","1.10%"
"Dec 09, 2020","808.88","804.79","812.96","802.74","0.61%"
"Dec 08, 2020","803.99","804.83","807.13","802.72","0.00%"
"Dec 07, 2020","803.98","805.86","808.03","801.14","-0.04%"
"Dec 04, 2020","804.27","812.49","813.68","802.97","-0.97%"
"Dec 03, 2020","812.18","815.93","816.99","809.39","-0.43%"
"Dec 02, 2020","815.66","815.46","817.20","810.11","0.10%"
"Dec 01, 2020","814.81","815.28","817.50","813.10","0.00%"
"Nov 30, 2020","814.80","816.90","818.72","813.04","-0.11%"
"Nov 27, 2020","815.73","814.29","818.15","812.01","0.22%"
"Nov 26, 2020","813.92","814.71","816.52","812.27","-0.07%"
"Nov 25, 2020","814.50","817.54","818.82","811.36","-0.32%"
"Nov 24, 2020","817.14","811.66","818.35","810.91","0.73%"
"Nov 23, 2020","811.19","814.57","816.74","810.66","-0.36%"
"Nov 20, 2020","814.14","811.95","817.29","809.45","0.33%"
"Nov 19, 2020","811.47","808.53","814.48","807.27","0.42%"
"Nov 18, 2020","808.06","807.34","810.85","803.83","0.17%"
"Nov 17, 2020","806.71","810.33","811.80","805.84","-0.42%"
"Nov 16, 2020","810.13","804.69","811.35","803.74","0.63%"
"Nov 13, 2020","805.02","806.39","808.16","802.58","-0.14%"
"Nov 12, 2020","806.16","809.95","811.99","805.12","-0.42%"
"Nov 11, 2020","809.60","813.88","814.81","808.63","-0.50%"
"Nov 10, 2020","813.67","815.64","816.10","810.41","-0.15%"
"Nov 09, 2020","814.90","813.99","818.17","809.42","0.16%"
"Nov 06, 2020","813.58","818.10","819.00","812.45","-0.49%"
"Nov 05, 2020","817.57","811.13","819.39","808.37","1.08%"
"Nov 04, 2020","808.86","810.41","815.61","805.07","-0.14%"
"Nov 03, 2020","810.03","799.29","812.34","797.89","1.36%"
"Nov 02, 2020","799.18","799.43","800.83","792.59","0.09%"
"Oct 30, 2020","798.50","794.67","800.85","793.89","0.54%"
"Oct 29, 2020","794.21","799.71","802.35","793.58","-0.65%"
"Oct 28, 2020","799.44","805.06","810.27","797.96","-0.68%"
"Oct 27, 2020","804.90","806.68","807.21","801.91","-0.20%"
"Oct 26, 2020","806.52","804.47","808.41","801.49","0.21%"
"Oct 23, 2020","804.79","807.91","810.54","802.24","-0.35%"
"Oct 22, 2020","807.59","806.50","809.19","803.18","0.21%"
"Oct 21, 2020","805.92","802.49","808.18","800.30","0.46%"
"Oct 20, 2020","802.22","806.15","807.01","800.28","-0.43%"
"Oct 19, 2020","805.68","809.60","812.27","805.03","-0.36%"
"Oct 16, 2020","808.63","812.48","813.98","807.27","-0.43%"
"Oct 15, 2020","812.13","821.63","823.02","809.66","-1.15%"
"Oct 14, 2020","821.58","822.66","824.43","818.92","-0.07%"
"Oct 13, 2020","822.18","827.80","828.70","821.48","-0.61%"
"Oct 12, 2020","827.21","826.22","831.92","823.89","-0.07%"
"Oct 09, 2020","827.79","825.08","828.91","821.86","0.35%"
"Oct 08, 2020","824.89","826.48","827.30","823.55","-0.14%"
"Oct 07, 2020","826.05","827.70","829.42","824.66","-0.14%"
"Oct 06, 2020","827.17","830.93","837.19","826.93","-0.42%"
"Oct 05, 2020","830.70","833.94","838.41","830.25","-0.56%"
"Oct 02, 2020","835.39","835.45","836.50","831.13","0.02%"
"Oct 01, 2020","835.26","834.20","838.20","832.94","0.18%"
"Sep 30, 2020","833.80","833.14","836.47","829.98","0.10%"
