"Date","Price","Open","High","Low","Change %"
"Apr 02, 2021","171.80","171.95","172.18","171.57","-0.06%"
"Apr 01, 2021","171.90","172.14","172.44","171.62","-0.06%"
"Mar 31, 2021","172.00","172.49","172.76","171.74","-0.19%"
"Mar 30, 2021","172.33","172.39","172.96","172.21","0.08%"
"Mar 29, 2021","172.19","172.59","173.18","172.23","-0.19%"
"Mar 26, 2021","172.52","173.41","173.54","172.46","-0.49%"
"Mar 25, 2021","173.37","174.02","174.18","173.24","-0.30%"
"Mar 24, 2021","173.90","173.93","174.26","173.29","0.03%"
"Mar 23, 2021","173.85","173.10","174.10","172.87","0.49%"
"Mar 22, 2021","173.00","173.52","174.22","172.96","-0.24%"
"Mar 19, 2021","173.42","173.41","174.30","172.96","0.06%"
"Mar 18, 2021","173.31","172.49","173.88","172.32","0.55%"
"Mar 17, 2021","172.36","173.68","174.34","172.30","-0.67%"
"Mar 16, 2021","173.52","174.28","174.75","173.49","-0.38%"
"Mar 15, 2021","174.19","174.62","175.07","173.94","-0.19%"
"Mar 12, 2021","174.53","174.15","175.07","173.59","0.28%"
"Mar 11, 2021","174.05","174.75","175.40","173.84","-0.30%"
"Mar 10, 2021","174.57","174.57","175.88","174.49","0.11%"
"Mar 09, 2021","174.38","174.96","175.21","174.19","-0.23%"
"Mar 08, 2021","174.78","173.76","175.30","173.35","0.67%"
"Mar 05, 2021","173.61","174.81","175.78","173.36","-0.66%"
"Mar 04, 2021","174.77","174.26","175.13","173.63","0.39%"
"Mar 03, 2021","174.09","173.89","174.41","172.71","0.16%"
"Mar 02, 2021","173.81","172.21","174.35","170.43","0.96%"
"Mar 01, 2021","172.15","173.73","173.90","172.15","-0.78%"
"Feb 26, 2021","173.51","173.43","174.80","172.80","0.12%"
"Feb 25, 2021","173.30","171.54","173.76","171.26","1.07%"
"Feb 24, 2021","171.47","171.69","172.38","171.27","-0.08%"
"Feb 23, 2021","171.61","172.10","172.46","171.51","-0.16%"
"Feb 22, 2021","171.89","171.27","172.57","170.78","0.56%"
