"Date","Price","Open","High","Low","Change %"
"Apr 02, 2021","1,561.02","1,561.56","1,564.21","1,557.86","0.00%"
"Apr 01, 2021","1,561.02","1,554.62","1,563.24","1,551.08","0.51%"
"Mar 31, 2021","1,553.13","1,557.60","1,559.53","1,551.94","-0.19%"
"Mar 30, 2021","1,556.07","1,558.69","1,564.22","1,554.06","-0.05%"
"Mar 29, 2021","1,556.91","1,557.16","1,568.94","1,555.55","0.07%"
"Mar 26, 2021","1,555.75","1,559.14","1,562.15","1,552.83","-0.19%"
"Mar 25, 2021","1,558.75","1,554.07","1,562.45","1,549.36","0.38%"
"Mar 24, 2021","1,552.88","1,558.66","1,560.09","1,547.99","-0.32%"
"Mar 23, 2021","1,557.81","1,561.67","1,564.22","1,554.28","-0.20%"
"Mar 22, 2021","1,560.97","1,566.13","1,568.65","1,557.81","-0.33%"
"Mar 19, 2021","1,566.09","1,570.97","1,578.40","1,564.34","-0.24%"
"Mar 18, 2021","1,569.83","1,566.74","1,575.71","1,564.18","0.27%"
"Mar 17, 2021","1,565.55","1,568.93","1,575.88","1,564.52","-0.17%"
"Mar 16, 2021","1,568.18","1,574.09","1,577.60","1,560.96","-0.32%"
"Mar 15, 2021","1,573.17","1,582.01","1,585.42","1,572.21","-0.53%"
"Mar 12, 2021","1,581.54","1,582.00","1,586.54","1,574.94","0.01%"
"Mar 11, 2021","1,581.36","1,583.94","1,588.75","1,575.78","-0.05%"
"Mar 10, 2021","1,582.21","1,578.29","1,588.70","1,576.29","0.35%"
"Mar 09, 2021","1,576.73","1,578.69","1,584.14","1,573.86","-0.02%"
"Mar 08, 2021","1,577.08","1,561.99","1,582.97","1,558.31","1.01%"
"Mar 05, 2021","1,561.26","1,571.73","1,579.95","1,556.44","-0.63%"
"Mar 04, 2021","1,571.23","1,572.80","1,580.01","1,565.03","0.00%"
"Mar 03, 2021","1,571.18","1,570.11","1,575.44","1,559.02","0.09%"
"Mar 02, 2021","1,569.73","1,550.48","1,573.64","1,534.94","1.30%"
"Mar 01, 2021","1,549.64","1,567.98","1,574.24","1,549.48","-1.03%"
"Feb 26, 2021","1,565.80","1,568.94","1,578.23","1,561.77","-0.12%"
"Feb 25, 2021","1,567.73","1,566.18","1,576.22","1,563.71","0.14%"
"Feb 24, 2021","1,565.57","1,566.75","1,579.43","1,561.08","-0.05%"
"Feb 23, 2021","1,566.39","1,564.73","1,571.25","1,560.26","0.21%"
"Feb 22, 2021","1,563.12","1,550.08","1,566.03","1,547.61","1.01%"
"Feb 19, 2021","1,547.52","1,547.20","1,552.22","1,542.07","0.06%"
"Feb 18, 2021","1,546.53","1,533.06","1,550.28","1,528.89","1.00%"
"Feb 17, 2021","1,531.16","1,540.20","1,542.08","1,531.38","-0.45%"
"Feb 16, 2021","1,538.15","1,532.76","1,543.02","1,529.19","0.46%"
"Feb 15, 2021","1,531.15","1,529.11","1,535.69","1,528.33","0.33%"
"Feb 12, 2021","1,526.09","1,524.18","1,531.69","1,520.94","0.24%"
"Feb 11, 2021","1,522.47","1,530.54","1,532.93","1,521.77","-0.40%"
"Feb 10, 2021","1,528.66","1,534.96","1,538.53","1,525.36","-0.39%"
"Feb 09, 2021","1,534.57","1,535.18","1,540.39","1,530.69","0.13%"
"Feb 08, 2021","1,532.63","1,534.57","1,540.84","1,532.30","-0.07%"
"Feb 05, 2021","1,533.66","1,531.44","1,542.02","1,528.83","0.17%"
"Feb 04, 2021","1,531.04","1,519.65","1,533.97","1,516.34","0.78%"
"Feb 03, 2021","1,519.20","1,524.22","1,526.60","1,517.41","-0.32%"
"Feb 02, 2021","1,524.15","1,526.77","1,530.75","1,519.28","-0.07%"
"Feb 01, 2021","1,525.26","1,533.70","1,538.69","1,525.50","-0.38%"
"Jan 29, 2021","1,531.06","1,527.43","1,537.46","1,525.18","0.31%"
"Jan 28, 2021","1,526.27","1,517.20","1,531.61","1,514.18","0.63%"
"Jan 27, 2021","1,516.71","1,513.67","1,521.45","1,512.14","0.28%"
"Jan 26, 2021","1,512.47","1,507.98","1,516.86","1,504.65","0.32%"
"Jan 25, 2021","1,507.67","1,512.37","1,514.09","1,505.22","-0.33%"
"Jan 22, 2021","1,512.64","1,510.59","1,515.17","1,507.63","0.23%"
"Jan 21, 2021","1,509.11","1,498.44","1,512.86","1,497.40","0.82%"
"Jan 20, 2021","1,496.85","1,502.56","1,511.72","1,497.36","-0.28%"
"Jan 19, 2021","1,501.04","1,500.19","1,505.11","1,496.61","0.22%"
