"Date","Price","Open","High","Low","Change %"
"Apr 02, 2021","145.140","145.180","145.370","144.845","-0.01%"
"Apr 01, 2021","145.160","145.095","145.845","144.760","0.12%"
"Mar 31, 2021","144.990","145.795","145.940","144.750","-0.47%"
"Mar 30, 2021","145.670","145.700","146.145","145.545","0.07%"
"Mar 29, 2021","145.570","145.300","146.210","145.270","0.21%"
"Mar 26, 2021","145.260","146.130","146.245","145.205","-0.58%"
"Mar 25, 2021","146.110","146.160","146.470","145.695","0.01%"
"Mar 24, 2021","146.090","145.925","146.235","145.490","0.16%"
"Mar 23, 2021","145.860","145.055","146.070","144.865","0.60%"
"Mar 22, 2021","144.990","145.455","146.020","144.940","-0.29%"
"Mar 19, 2021","145.410","145.305","146.110","144.925","0.12%"
"Mar 18, 2021","145.240","144.475","145.700","144.240","0.60%"
"Mar 17, 2021","144.380","145.460","146.070","144.320","-0.70%"
"Mar 16, 2021","145.400","145.885","146.300","145.255","-0.28%"
"Mar 15, 2021","145.810","146.405","146.695","145.675","-0.36%"
"Mar 12, 2021","146.340","145.745","146.725","145.300","0.46%"
"Mar 11, 2021","145.670","146.485","147.020","145.495","-0.46%"
"Mar 10, 2021","146.350","146.360","147.555","146.275","0.08%"
"Mar 09, 2021","146.230","146.975","147.350","146.035","-0.42%"
"Mar 08, 2021","146.840","145.400","147.250","145.165","1.06%"
"Mar 05, 2021","145.300","145.770","146.575","144.845","-0.31%"
"Mar 04, 2021","145.750","145.300","146.025","144.795","0.40%"
"Mar 03, 2021","145.170","145.070","145.425","143.990","0.10%"
"Mar 02, 2021","145.030","143.565","145.455","142.090","1.04%"
"Mar 01, 2021","143.540","145.020","145.060","143.505","-0.94%"
"Feb 26, 2021","144.900","144.370","145.735","144.230","0.43%"
"Feb 25, 2021","144.280","142.815","144.650","142.580","1.05%"
"Feb 24, 2021","142.780","143.185","143.620","142.635","-0.27%"
"Feb 23, 2021","143.170","143.495","143.780","142.935","-0.13%"
"Feb 22, 2021","143.360","142.650","143.950","142.245","0.65%"
"Feb 19, 2021","142.430","142.800","143.335","142.160","-0.25%"
