"Date","Price","Open","High","Low","Change %"
"Apr 02, 2021","10.1946","10.2053","10.2217","10.1782","-0.08%"
"Apr 01, 2021","10.2027","10.1880","10.2378","10.1563","0.23%"
"Mar 31, 2021","10.1794","10.2709","10.2870","10.1725","-0.78%"
"Mar 30, 2021","10.2599","10.3152","10.3264","10.2633","-0.43%"
"Mar 29, 2021","10.3047","10.2954","10.3606","10.2802","0.14%"
"Mar 26, 2021","10.2907","10.3974","10.4088","10.2853","-1.00%"
"Mar 25, 2021","10.3949","10.4419","10.4504","10.3778","-0.39%"
"Mar 24, 2021","10.4359","10.4365","10.4642","10.3880","0.04%"
"Mar 23, 2021","10.4314","10.3496","10.4493","10.3410","0.85%"
"Mar 22, 2021","10.3436","10.3750","10.4162","10.3420","-0.24%"
"Mar 19, 2021","10.3684","10.3618","10.4103","10.3296","0.13%"
"Mar 18, 2021","10.3549","10.3078","10.3944","10.2807","0.53%"
"Mar 17, 2021","10.3005","10.3629","10.3941","10.2944","-0.54%"
"Mar 16, 2021","10.3568","10.3807","10.4014","10.3401","-0.19%"
"Mar 15, 2021","10.3762","10.4204","10.4325","10.3680","-0.41%"
"Mar 12, 2021","10.4192","10.4221","10.4431","10.3752","0.03%"
"Mar 11, 2021","10.4161","10.4886","10.5185","10.4052","-0.61%"
"Mar 10, 2021","10.4798","10.4717","10.5288","10.4500","0.18%"
"Mar 09, 2021","10.4610","10.4866","10.4999","10.4164","-0.13%"
"Mar 08, 2021","10.4750","10.4209","10.5112","10.3983","0.64%"
"Mar 05, 2021","10.4088","10.4749","10.5357","10.3926","-0.61%"
"Mar 04, 2021","10.4730","10.5327","10.5821","10.4409","-0.46%"
"Mar 03, 2021","10.5219","10.5478","10.5568","10.4399","-0.22%"
"Mar 02, 2021","10.5447","10.4302","10.5645","10.3132","1.12%"
"Mar 01, 2021","10.4274","10.5549","10.5761","10.4235","-1.09%"
"Feb 26, 2021","10.5421","10.5387","10.6280","10.5163","0.11%"
"Feb 25, 2021","10.5306","10.4608","10.5582","10.4318","0.71%"
"Feb 24, 2021","10.4568","10.5490","10.5614","10.4487","-0.86%"
"Feb 23, 2021","10.5476","10.5885","10.6110","10.5364","-0.28%"
"Feb 22, 2021","10.5775","10.4921","10.5975","10.4529","1.02%"
"Feb 19, 2021","10.4710","10.4763","10.5150","10.4506","-0.02%"
"Feb 18, 2021","10.4736","10.4510","10.5047","10.4219","0.29%"
"Feb 17, 2021","10.4431","10.4449","10.4834","10.4186","0.08%"
"Feb 16, 2021","10.4345","10.4608","10.4839","10.3958","-0.15%"
"Feb 15, 2021","10.4499","10.5183","10.5337","10.4452","-0.52%"
"Feb 12, 2021","10.5049","10.5295","10.5452","10.5064","-0.16%"
"Feb 11, 2021","10.5214","10.5792","10.5927","10.5189","-0.44%"
"Feb 10, 2021","10.5676","10.6230","10.6437","10.5418","-0.50%"
"Feb 09, 2021","10.6203","10.6182","10.6670","10.5998","0.18%"
"Feb 08, 2021","10.6016","10.6064","10.6417","10.5899","0.05%"
"Feb 05, 2021","10.5965","10.6144","10.6874","10.5849","-0.13%"
"Feb 04, 2021","10.6101","10.6031","10.6564","10.5923","0.09%"
"Feb 03, 2021","10.6003","10.6254","10.6408","10.5851","-0.21%"
"Feb 02, 2021","10.6226","10.6500","10.6740","10.6060","-0.16%"
"Feb 01, 2021","10.6395","10.6848","10.7077","10.6378","-0.32%"
"Jan 29, 2021","10.6737","10.6802","10.7366","10.6262","0.01%"
"Jan 28, 2021","10.6727","10.6472","10.7486","10.6347","0.26%"
"Jan 27, 2021","10.6452","10.6356","10.6714","10.6224","0.19%"
"Jan 26, 2021","10.6245","10.6283","10.6788","10.6079","-0.01%"
"Jan 25, 2021","10.6252","10.6511","10.6575","10.6052","-0.23%"
"Jan 22, 2021","10.6494","10.6293","10.6816","10.6160","0.31%"
"Jan 21, 2021","10.6160","10.5983","10.6514","10.5889","0.28%"
"Jan 20, 2021","10.5866","10.6100","10.6414","10.5801","-0.14%"
"Jan 19, 2021","10.6010","10.6483","10.6582","10.5745","-0.29%"
"Jan 18, 2021","10.6318","10.6420","10.6805","10.6213","0.12%"
"Jan 15, 2021","10.6186","10.5586","10.6492","10.5460","0.60%"
"Jan 14, 2021","10.5556","10.5725","10.6088","10.5251","-0.05%"
"Jan 13, 2021","10.5614","10.5499","10.5885","10.5286","0.13%"
"Jan 12, 2021","10.5472","10.5250","10.5800","10.5177","0.24%"
"Jan 11, 2021","10.5220","10.5203","10.5668","10.4976","0.09%"
"Jan 08, 2021","10.5130","10.5446","10.5742","10.4804","-0.25%"
"Jan 07, 2021","10.5392","10.5578","10.5760","10.5127","-0.15%"
"Jan 06, 2021","10.5553","10.5846","10.6024","10.5073","-0.19%"
"Jan 05, 2021","10.5755","10.5381","10.6032","10.4957","0.39%"
"Jan 04, 2021","10.5340","10.5232","10.5599","10.4871","0.23%"
"Jan 01, 2021","10.5099","10.5149","10.5238","10.5144","0.08%"
"Dec 31, 2020","10.5013","10.5483","10.5822","10.4990","-0.36%"
"Dec 30, 2020","10.5390","10.5428","10.5696","10.4965","0.07%"
"Dec 29, 2020","10.5316","10.5716","10.5917","10.5159","-0.21%"
"Dec 28, 2020","10.5539","10.6293","10.6663","10.5571","-0.60%"
"Dec 25, 2020","10.6180","10.6389","10.6482","10.6140","-0.08%"
"Dec 24, 2020","10.6270","10.6877","10.6957","10.6222","-0.53%"
"Dec 23, 2020","10.6840","10.7091","10.7306","10.6603","-0.20%"
"Dec 22, 2020","10.7054","10.6893","10.7365","10.6642","0.33%"
"Dec 21, 2020","10.6702","10.6358","10.7303","10.6164","0.30%"
"Dec 18, 2020","10.6386","10.6096","10.6533","10.5791","0.38%"
"Dec 17, 2020","10.5984","10.5717","10.6400","10.5484","0.43%"
"Dec 16, 2020","10.5532","10.5093","10.5939","10.4961","0.44%"
"Dec 15, 2020","10.5066","10.5082","10.5578","10.4795","0.02%"
"Dec 14, 2020","10.5042","10.4975","10.5479","10.4687","0.11%"
"Dec 11, 2020","10.4928","10.4336","10.5243","10.4197","0.75%"
"Dec 10, 2020","10.4149","10.4330","10.4555","10.3811","-0.08%"
"Dec 09, 2020","10.4229","10.4237","10.4448","10.3781","0.09%"
"Dec 08, 2020","10.4133","10.4206","10.4447","10.4045","0.01%"
"Dec 07, 2020","10.4126","10.4083","10.4413","10.3774","0.08%"
"Dec 04, 2020","10.4039","10.5182","10.5337","10.3938","-1.06%"
"Dec 03, 2020","10.5149","10.5364","10.5477","10.4578","-0.17%"
"Dec 02, 2020","10.5326","10.6037","10.6168","10.5183","-0.60%"
"Dec 01, 2020","10.5964","10.6422","10.6475","10.5871","-0.37%"
"Nov 30, 2020","10.6359","10.6195","10.6666","10.6006","0.28%"
"Nov 27, 2020","10.6063","10.6079","10.6362","10.5935","0.05%"
